FIPS ,State,County,2010 Census Population,"Population Estimate, 2011","Population Estimate, 2012","Population Estimate, 2013","Population Estimate, 2014","Population Estimate, 2015","Population Estimate, 2016"
13157,GA,Jackson ,60485,60544,60448,60856,61700,63038,64615
13159,GA,Jasper ,13900,13774,13586,13524,13469,13624,13654
13161,GA,Jeff Davis ,15068,15096,15134,14979,14853,14922,14877
13163,GA,Jefferson ,16930,16811,16414,16345,16261,16067,15916
13165,GA,Jenkins ,8340,8141,9143,9251,9091,8943,8849
13167,GA,Johnson ,9980,9931,9894,9790,9685,9595,9505
13169,GA,Jones ,28669,28893,28778,28740,28811,28554,28623
13171,GA,Lamar ,18317,18182,18055,17956,18223,18272,18469
13173,GA,Lanier ,10078,10486,10480,10416,10346,10270,10399
13175,GA,Laurens ,48434,48027,48004,47933,47814,47743,47516
13177,GA,Lee ,28298,28615,28748,29089,29216,29282,29337
13179,GA,Liberty ,63453,65139,65426,64066,65153,62529,62570
13181,GA,Lincoln ,7996,7877,7752,7707,7589,7685,7828
13183,GA,Long ,14464,15244,16164,16641,17172,17799,18437
13185,GA,Lowndes ,109233,111574,114214,113073,113838,113739,114628
13187,GA,Lumpkin ,29966,30495,30705,30879,31149,31294,31445
13189,GA,McDuffie ,21875,21641,21666,21549,21558,21525,21490
13191,GA,McIntosh ,14333,14227,13842,13991,14007,13939,13927
13193,GA,Macon ,14740,14493,14304,13993,13819,13663,13450
13195,GA,Madison ,28120,28118,28050,28173,28366,28396,28824
13197,GA,Marion ,8742,8748,8736,8639,8693,8637,8524
13199,GA,Meriwether ,21992,21605,21325,21193,21192,21191,21074
13201,GA,Miller ,6125,6057,5971,5885,5925,5846,5926
13205,GA,Mitchell ,23498,23448,23126,23040,22774,22493,22459
13207,GA,Monroe ,26424,26692,26741,26991,27075,27107,27306
13209,GA,Montgomery ,9123,9101,8964,9008,8997,8994,9060
13211,GA,Morgan ,17868,17905,17823,17726,17985,18011,18170
13213,GA,Murray ,39628,39433,39392,39253,39355,39476,39315
13215,GA,Muscogee ,189885,195400,199466,203669,201245,199651,197485
13217,GA,Newton ,99958,100565,101122,102272,103790,105324,106999
13219,GA,Oconee ,32808,33273,33526,34047,35073,35872,36838
13221,GA,Oglethorpe ,14899,14793,14620,14533,14714,14925,14921
13223,GA,Paulding ,142324,143819,145025,147086,148962,152253,155825
13225,GA,Peach ,27695,27554,27504,26871,26838,26665,26655
13227,GA,Pickens ,29431,29471,29327,29518,29981,30301,30832
13229,GA,Pierce ,18758,18738,18861,18985,19005,19130,19171
13231,GA,Pike ,17869,17789,17795,17789,17748,17943,17941
13233,GA,Polk ,41475,41289,41105,41060,40967,41405,41776
13235,GA,Pulaski ,12010,11857,11692,11537,11456,11363,11251
13237,GA,Putnam ,21218,21265,21149,21268,21125,21274,21477
13239,GA,Quitman ,2513,2458,2407,2370,2300,2303,2335
13241,GA,Rabun ,16276,16281,16314,16211,16211,16267,16559
13243,GA,Randolph ,7719,7586,7317,7187,7283,7156,7177
13245,GA,Richmond ,200549,200509,201856,201069,201117,201401,201647
13247,GA,Rockdale ,85215,85532,85625,86670,87516,88678,89355
13249,GA,Schley ,5010,5018,4986,5057,5143,5162,5098
13251,GA,Screven ,14593,14415,14193,14179,14029,14123,14044
13253,GA,Seminole ,8729,8774,8908,8871,8628,8606,8468
13255,GA,Spalding ,64073,64089,63727,63619,63860,64016,64806
13257,GA,Stephens ,26175,25742,25701,25552,25414,25500,25751
13259,GA,Stewart ,6058,6079,6127,5541,5819,5765,5705
13261,GA,Sumter ,32819,32117,31641,31371,31203,30744,30389
13263,GA,Talbot ,6865,6773,6546,6445,6381,6321,6171
13265,GA,Taliaferro ,1717,1704,1670,1688,1689,1638,1593
13267,GA,Tattnall ,25520,25303,25313,25497,25195,25205,25092
13269,GA,Taylor ,8906,8468,8381,8413,8428,8314,8232
13271,GA,Telfair ,16500,16308,16418,16663,16497,16480,15965
13273,GA,Terrell ,9315,9385,9244,9222,9128,9099,8967
13275,GA,Thomas ,44720,44614,44615,44932,45052,45038,45248
13277,GA,Tift ,40118,41212,40998,40297,40610,40722,40828
13279,GA,Toombs ,27223,27159,27136,27182,27121,27166,27196
13281,GA,Towns ,10471,10499,10504,10745,11075,11163,11391
13283,GA,Treutlen ,6885,6818,6753,6641,6769,6755,6637
13285,GA,Troup ,67044,67719,68432,68936,69451,69747,70005
13287,GA,Turner ,8930,8929,8435,8194,8061,8036,8030
13289,GA,Twiggs ,9023,8818,8513,8481,8351,8297,8171
13291,GA,Union ,21356,21363,21477,21571,21940,22251,22928
13293,GA,Upson ,27153,26962,26626,26488,26229,26292,26335
13295,GA,Walker ,68756,68610,68191,68288,68289,68053,67896
13297,GA,Walton ,83768,84438,84882,86011,87610,88495,90184
13299,GA,Ware ,36312,36193,35859,35760,35578,35422,35738
13301,GA,Warren ,5834,5704,5568,5551,5500,5458,5442
13303,GA,Washington ,21187,21022,20864,20647,20629,20804,20457
13305,GA,Wayne ,30099,30346,30362,30055,29972,29539,30104
13307,GA,Webster ,2799,2796,2792,2702,2630,2635,2599
13309,GA,Wheeler ,7421,8065,7911,7915,7960,7897,7978
13311,GA,White ,27144,27390,27591,27796,28029,28402,28884
13313,GA,Whitfield ,102599,103075,103193,103008,103498,103976,104589
13315,GA,Wilcox ,9255,9174,8977,8970,8850,8864,8761
13317,GA,Wilkes ,10593,10199,10058,9935,9930,9890,9805
13319,GA,Wilkinson ,9563,9463,9548,9416,9343,9148,9104
13321,GA,Worth ,21679,21551,21375,21085,21025,20708,20748
