FIPS ,State,County,2010 Census Population,"Population Estimate, 2011","Population Estimate, 2012","Population Estimate, 2013","Population Estimate, 2014","Population Estimate, 2015","Population Estimate, 2016"
29127.0,MO,Marion ,28781.0,28788.0,28806.0,28858.0,28870.0,28862.0,28894.0
29129.0,MO,Mercer ,3785.0,3784.0,3719.0,3683.0,3709.0,3702.0,3699.0
29131.0,MO,Miller ,24748.0,24825.0,24716.0,25005.0,25053.0,25076.0,25206.0
29133.0,MO,Mississippi ,14358.0,14250.0,14298.0,14233.0,14205.0,14023.0,13799.0
29135.0,MO,Moniteau ,15607.0,15696.0,15673.0,15759.0,15835.0,15913.0,16018.0
29137.0,MO,Monroe ,8840.0,8679.0,8677.0,8733.0,8683.0,8560.0,8558.0
29139.0,MO,Montgomery ,12236.0,12228.0,12021.0,11941.0,11820.0,11699.0,11620.0
29141.0,MO,Morgan ,20565.0,20391.0,20136.0,20210.0,20194.0,20158.0,20213.0
29143.0,MO,New Madrid ,18956.0,18802.0,18493.0,18332.0,18236.0,18167.0,17915.0
29145.0,MO,Newton ,58114.0,58828.0,59071.0,58783.0,58592.0,58567.0,58694.0
29147.0,MO,Nodaway ,23370.0,23430.0,23377.0,23225.0,23081.0,22776.0,22670.0
29149.0,MO,Oregon ,10881.0,11070.0,11007.0,10993.0,10884.0,10936.0,10789.0
29151.0,MO,Osage ,13878.0,13921.0,13864.0,13690.0,13675.0,13626.0,13664.0
29153.0,MO,Ozark ,9723.0,9648.0,9612.0,9531.0,9465.0,9407.0,9237.0
29155.0,MO,Pemiscot ,18296.0,18208.0,18106.0,17786.0,17587.0,17442.0,17073.0
29157.0,MO,Perry ,18971.0,18919.0,19042.0,19113.0,19190.0,19130.0,19285.0
29159.0,MO,Pettis ,42201.0,42133.0,42280.0,42163.0,42129.0,42182.0,42213.0
29161.0,MO,Phelps ,45156.0,45185.0,45201.0,44915.0,44833.0,44610.0,44608.0
29163.0,MO,Pike ,18516.0,18637.0,18530.0,18577.0,18475.0,18354.0,18438.0
29165.0,MO,Platte ,89322.0,90802.0,92153.0,93333.0,94837.0,96217.0,98309.0
29167.0,MO,Polk ,31137.0,31196.0,31078.0,30994.0,31025.0,31183.0,31285.0
29169.0,MO,Pulaski ,52274.0,53273.0,53412.0,53783.0,53505.0,53156.0,52654.0
29171.0,MO,Putnam ,4979.0,4964.0,4941.0,4884.0,4844.0,4863.0,4853.0
29173.0,MO,Ralls ,10167.0,10303.0,10265.0,10180.0,10278.0,10177.0,10224.0
29175.0,MO,Randolph ,25414.0,25258.0,25313.0,24941.0,25071.0,25090.0,24989.0
29177.0,MO,Ray ,23494.0,23319.0,23063.0,23029.0,22943.0,22815.0,22754.0
29179.0,MO,Reynolds ,6696.0,6682.0,6663.0,6583.0,6530.0,6418.0,6455.0
29181.0,MO,Ripley ,14100.0,14147.0,14043.0,14028.0,13979.0,13811.0,13817.0
29183.0,MO,St. Charles ,360485.0,365262.0,369102.0,374196.0,379894.0,385171.0,390918.0
29185.0,MO,St. Clair ,9805.0,9707.0,9522.0,9508.0,9467.0,9450.0,9272.0
29186.0,MO,Ste. Genevieve ,18145.0,18229.0,17859.0,17941.0,17960.0,17895.0,18030.0
29187.0,MO,St. Francois ,65359.0,65575.0,65856.0,66229.0,65993.0,66446.0,66627.0
